AddressLine1,AddressLine2,Reseller City,ResellerID,ResellerSort,AccountNumber,Reseller Name,State or Province,Reseller Country,CountrySort,Reseller Contact,Reseller Address,Post Code,Reseller Email
9952 E. Lohman Ave.,,Las Cruces,29992,44,AW00029992,Bike Dealers Association,New Mexico,United States,1,Sandra Maynard,"9952 E. Lohman Ave., Las Cruces, New Mexico, 88001, United States",88001,
656 Cox Creek Pkwy.,,Florence,29993,574,AW00029993,Pedal Systems Company,Alabama,United States,1,John McClane,"656 Cox Creek Pkwy., Florence, Alabama, 35630, United States",35630,
7505 Commercial Dr.,,New Hartford,29996,101,AW00029996,Fashionable Department Stores,New York,United States,1,Katie McAskill-White,"7505 Commercial Dr., New Hartford, New York, 13413, United States",13413,
1050 Oak Street,,Seattle,29997,28,AW00029997,Closeout Boutique,Washington,United States,1,Lola McCarthy,"1050 Oak Street, Seattle, Washington, 98104, United States",98104,
409 Santa Monica Blvd.,,Santa Monica,29998,73,AW00029998,Bicycle Merchandise Warehouse,California,United States,1,Jane McCarty,"409 Santa Monica Blvd., Santa Monica, California, 90401, United States",90401,
2545 N.W. 107th Ave.,,Miami,29999,581,AW00029999,Spoke Manufacturers,Florida,United States,1,Nikki McCormick,"2545 N.W. 107th Ave., Miami, Florida, 33127, United States",33127,
99200 Dixwell Ave.,,Hamden,30002,570,AW00030002,Endurance Bikes,Connecticut,United States,1,Alejandro McGuel,"99200 Dixwell Ave., Hamden, Connecticut, 06518, United States",06518,
Horizon Outlet,,Woodbury,30003,440,AW00030003,Practical Bike Supply Company,Minnesota,United States,1,Yvonne McKay,"Horizon Outlet, Woodbury, Minnesota, 55125, United States",55125,
Frontier Mall,,Cheyenne,30004,231,AW00030004,Some Discount Store,Wyoming,United States,1,Nkenge McLin,"Frontier Mall, Cheyenne, Wyoming, 82001, United States",82001,
Johnson Creek,,Johnson Creek,30008,435,AW00030008,Friendly Neighborhood Bikes,Wisconsin,United States,1,R. Morgan Mendoza,"Johnson Creek, Johnson Creek, Wisconsin, 53038, United States",53038,
Buckeye Factory Shops,,Burbank,30009,214,AW00030009,Guaranteed Sales and Service,Ohio,United States,1,Tosh Meston,"Buckeye Factory Shops, Burbank, Ohio, 44214, United States",44214,
Horizon Outlet Center,,Vero Beach,30011,267,AW00030011,Sunny Place Bikes,Florida,United States,1,Eric Meyer,"Horizon Outlet Center, Vero Beach, Florida, 32960, United States",32960,
7505 Laguna Boulevard,,Elk Grove,30012,432,AW00030012,Alpine Ski House,California,United States,1,Helen Meyer,"7505 Laguna Boulevard, Elk Grove, California, 95624, United States",95624,
Peach Festival Outlet,,Byron,30013,409,AW00030013,Cycles and Scooters,Georgia,United States,1,Deanna Meyer,"Peach Festival Outlet, Byron, Georgia, 31008, United States",31008,
Consumer Square,,Cheektowaga,30014,281,AW00030014,Small Bike Accessories Shop,New York,United States,1,Gary Meyerhoff,"Consumer Square, Cheektowaga, New York, 14227, United States",14227,
Newport Shopping Center,,Newport,30017,411,AW00030017,Village Tours,Kentucky,United States,1,Jan Miksovsky,"Newport Shopping Center, Newport, Kentucky, 41071, United States",41071,
25111 228th St Sw,,Bothell,30018,543,AW00030018,All Cycle Shop,Washington,United States,1,Virginia Miller,"25111 228th St Sw, Bothell, Washington, 98011, United States",98011,
Parkway Plaza,,El Cajon,30022,347,AW00030022,Metropolitan Manufacturing,California,United States,1,Dylan Miller,"Parkway Plaza, El Cajon, California, 92020, United States",92020,
123 W. Lake Ave.,,Peoria,30023,448,AW00030023,Orange Bicycle Company,Illinois,United States,1,Frank Miller,"123 W. Lake Ave., Peoria, Illinois, 61606, United States",61606,
2528 Meridian E,,Puyallup,30024,444,AW00030024,Riding Associates,Washington,United States,1,Neva Mitchell,"2528 Meridian E, Puyallup, Washington, 98371, United States",98371,
123 Camelia Avenue,,Oxnard,30027,374,AW00030027,Engineered Bike Systems,California,United States,1,Joseph Mitzner,"123 Camelia Avenue, Oxnard, California, 93030, United States",93030,
253731 West Bell Road,,Surprise,30028,429,AW00030028,Professional Containers and Packaging Co.,Arizona,United States,1,Laura Steele,"253731 West Bell Road, Surprise, Arizona, 85374, United States",85374,
2255 254th Avenue Se,,Albany,30031,443,AW00030031,Cycle Clearance,Oregon,United States,1,Alan Steiner,"2255 254th Avenue Se, Albany, Oregon, 97321, United States",97321,
Factory Merchants,,Branson,30032,558,AW00030032,Black Bicycle Company,Missouri,United States,1,Derik Stenerson,"Factory Merchants, Branson, Missouri, 65616, United States",65616,
25130 South State Street,,Sandy,30033,518,AW00030033,Transport Bikes,Utah,United States,1,Vassar Stern,"25130 South State Street, Sandy, Utah, 84070, United States",84070,
700 Se Sunnyside Road,,Clackamas,30034,369,AW00030034,Sellers of Cycles,Oregon,United States,1,Wathalee Steuber,"700 Se Sunnyside Road, Clackamas, Oregon, 97015, United States",97015,
Lone Star Factory,,La Marque,30035,390,AW00030035,Maintenance and Repair for Bicycles,Texas,United States,1,Alice Steiner,"Lone Star Factory, La Marque, Texas, 77568, United States",77568,
7750 E Marching Rd,,Scottsdale,30036,595,AW00030036,Fitness Department Stores,Arizona,United States,1,Liza Marie Stevens,"7750 E Marching Rd, Scottsdale, Arizona, 85257, United States",85257,
Sports Stores @ Tuscola,,Tuscola,30039,312,AW00030039,Gift and Toy Store,Illinois,United States,1,Robert Stotka,"Sports Stores @ Tuscola, Tuscola, Illinois, 61953, United States",61953,
9980 S Alma School Road,,Chandler,30040,601,AW00030040,Major Sporting Goods,Arizona,United States,1,Kayla Stotler,"9980 S Alma School Road, Chandler, Arizona, 85225, United States",85225,
20500 S.W. 2512th Ave,,Miami,30041,560,AW00030041,Executive Discount Store,Florida,United States,1,Charles Strange,"20500 S.W. 2512th Ave, Miami, Florida, 33127, United States",33127,
Lancaster Mall,,Salem,30045,185,AW00030045,Bike Experts,Oregon,United States,1,Ruth Suffin,"Lancaster Mall, Salem, Oregon, 97301, United States",97301,
Town East Center,,Mesquite,30046,48,AW00030046,Extraordinary Bike Works,Texas,United States,1,Elizabeth Sullivan,"Town East Center, Mesquite, Texas, 75149, United States",75149,
5867 Sunrise Boulevard,,Citrus Heights,30047,356,AW00030047,Valley Bicycle Distributors,California,United States,1,Michael Sullivan,"5867 Sunrise Boulevard, Citrus Heights, California, 95610, United States",95610,
Three Rivers Mall,,Kelso,30051,165,AW00030051,Honest Repair Service,Washington,United States,1,Brad Sutton,"Three Rivers Mall, Kelso, Washington, 98626, United States",98626,
9920 Bridgepointe Parkway,,San Mateo,30052,387,AW00030052,Wheel Gallery,California,United States,1,Abraham Swearengin,"9920 Bridgepointe Parkway, San Mateo, California, 94404, United States",94404,
25192 Princeton Rd.,,Springdale,30054,397,AW00030054,Grown-up Bike Store,Ohio,United States,1,Shelly Szymanski,"25192 Princeton Rd., Springdale, Ohio, 45246, United States",45246,
6996 South Lindbergh,,Saint Louis,30055,110,AW00030055,Bicycle Lines Distributors,Missouri,United States,1,Julie Taft-Rider,"6996 South Lindbergh, Saint Louis, Missouri, 63103, United States",63103,
San Diego Factory,,San Ysidro,30056,197,AW00030056,Sparkling Paint and Finishes,California,United States,1,Clarence Tatman,"San Diego Factory, San Ysidro, California, 92173, United States",92173,
Parkway City Mall,,Huntsville,30057,509,AW00030057,Racing Association,Alabama,United States,1,Damon Taylor,"Parkway City Mall, Huntsville, Alabama, 35801, United States",35801,
New Castle Plaza,,New Castle,30060,188,AW00030060,Executive Gift Store,Indiana,United States,1,Jeff Teper,"New Castle Plaza, New Castle, Indiana, 47362, United States",47362,
9500b E. Central Texas Expressway,,Killeen,30061,426,AW00030061,Big Cycle Mall,Texas,United States,1,Chad Tedford,"9500b E. Central Texas Expressway, Killeen, Texas, 76541, United States",76541,
Tom Morris,,Millington,30062,597,AW00030062,Budget Bike Company,Tennessee,United States,1,Sameer Tejani,"Tom Morris, Millington, Tennessee, 38054, United States",38054,
25102 Springwater,,Wenatchee,30064,523,AW00030064,Demand Distributors,Washington,United States,1,Judy Thames,"25102 Springwater, Wenatchee, Washington, 98801, United States",98801,
9963 Tresser Blvd.,,Stamford,30065,99,AW00030065,Immediate Repair Shop,Connecticut,United States,1,Karen Theisen,"9963 Tresser Blvd., Stamford, Connecticut, 06901, United States",06901,
42500 West Park Drive,,Atlanta,30068,598,AW00030068,Retirement Activities Association,Georgia,United States,1,James Thomas,"42500 West Park Drive, Atlanta, Georgia, 30308, United States",30308,
25472 Marlay Ave,,Fontana,30069,515,AW00030069,Trendy Department Stores,California,United States,1,Donald Thompson,"25472 Marlay Ave, Fontana, California, 92335, United States",92335,
22571 South 2500 East,,Idaho Falls,30070,137,AW00030070,Vintage Sport Boutique,Idaho,United States,1,Kendra Thompson,"22571 South 2500 East, Idaho Falls, Idaho, 83402, United States",83402,
755 Nw Grandstand,,Issaquah,30071,167,AW00030071,Travel Sports,Washington,United States,1,Daniel Thompson,"755 Nw Grandstand, Issaquah, Washington, 98027, United States",98027,
Belz Factory Outlet,,Orlando,30075,122,AW00030075,Valuable Bike Parts Company,Florida,United States,1,Mike Tiano,"Belz Factory Outlet, Orlando, Florida, 32804, United States",32804,
8525 South Parker Road,,Parker,30076,116,AW00030076,Fun Times Club,Colorado,United States,1,Diane Tibbott,"8525 South Parker Road, Parker, Colorado, 80138, United States",80138,
Factory Stores Of America,,Smithfield,30077,625,AW00030077,Chain and Chain Tool Distributions,North Carolina,United States,1,Danielle Tiedt,"Factory Stores Of America, Smithfield, North Carolina, 27577, United States",27577,
Walnut Hill Plaza,,Woonsocket,30078,635,AW00030078,Mobile Outlet,Rhode Island,United States,1,Tony Ting,"Walnut Hill Plaza, Woonsocket, Rhode Island, 02895, United States",02895,
755 Columbia Ctr Blvd,,Kennewick,30080,592,AW00030080,Wingtip Toys,Washington,United States,1,Delia Toone,"755 Columbia Ctr Blvd, Kennewick, Washington, 99337, United States",99337,
The Corner Shopping Center,,Falls Church,30081,626,AW00030081,The Cycle Store,Virginia,United States,1,Alvin Torre,"The Corner Shopping Center, Falls Church, Virginia, 22046, United States",22046,
Silver Sands Factory Outlet,,Destin,30084,468,AW00030084,Simple Bike Parts,Florida,United States,1,Abe Tramel,"Silver Sands Factory Outlet, Destin, Florida, 32541, United States",32541,
Regency Hilltop Shopping Cntr,,Virginia Beach,30085,521,AW00030085,Bike Products and Accessories,Virginia,United States,1,Doris Traube,"Regency Hilltop Shopping Cntr, Virginia Beach, Virginia, 23451, United States",23451,
770 South Point Dr,,Memphis,30088,276,AW00030088,Reliable Brake Systems,Tennessee,United States,1,David Trolen,"770 South Point Dr, Memphis, Tennessee, 38103, United States",38103,
Oxnard Outlet,,Oxnard,30089,505,AW00030089,Thrifty Parts and Sales,California,United States,1,Michael John Troyer,"Oxnard Outlet, Oxnard, California, 93030, United States",93030,
225200 Miles Ave.,,North Randall,30091,258,AW00030091,Active Transport Inc.,Ohio,United States,1,Lynn Tsoflias,"225200 Miles Ave., North Randall, Ohio, 44128, United States",44128,
Natomas Marketplace,,Sacramento,30094,77,AW00030094,Quantity Discounts,California,United States,1,Sairaj Uddin,"Natomas Marketplace, Sacramento, California, 95814, United States",95814,
25500 Old Spanish Trail,,Houston,30095,130,AW00030095,Swift Cycles,Texas,United States,1,Sunil Uppal,"25500 Old Spanish Trail, Houston, Texas, 77003, United States",77003,
630 Oldgate Lane,,Milford,30096,205,AW00030096,Classic Cycle Store,Connecticut,United States,1,Mary Vaca,"630 Oldgate Lane, Milford, Connecticut, 06460, United States",06460,
8789 S.W. 2517 Ave.,,Kendall,30099,590,AW00030099,Recreation Supplies,Florida,United States,1,H. Valentine,"8789 S.W. 2517 Ave., Kendall, Florida, 33143, United States",33143,
Mall Of Orange,,Orange,30100,257,AW00030100,Wire Baskets and Parts,California,United States,1,Jessie Valerio,"Mall Of Orange, Orange, California, 92867, United States",92867,
950 Gateway Street,,Springfield,30105,161,AW00030105,Convenient Sales and Service,Oregon,United States,1,Gregory Vanderbout,"950 Gateway Street, Springfield, Oregon, 97477, United States",97477,
Lincoln Square,,Arlington,30106,242,AW00030106,Solid Bike Parts,Texas,United States,1,Michael Vanderhyde,"Lincoln Square, Arlington, Texas, 76010, United States",76010,
62500 Neil Road,,Reno,30107,24,AW00030107,Permanent Finish Products,Nevada,United States,1,Margaret Vanderkamp,"62500 Neil Road, Reno, Nevada, 89502, United States",89502,
Kensington Valley Shops,,Howell,30109,79,AW00030109,Exhilarating Cycles,Michigan,United States,1,Nieves Vargas,"Kensington Valley Shops, Howell, Michigan, 48843, United States",48843,
Stevens Creek Shopping Center,,San Jose,30110,579,AW00030110,Exercise Center,California,United States,1,Gary Vargas,"Stevens Creek Shopping Center, San Jose, California, 95112, United States",95112,
455 256th St.,,Moline,30111,109,AW00030111,Great Bicycle Supply,Illinois,United States,1,Ranjit Varkey Chudukatil,"455 256th St., Moline, Illinois, 61265, United States",61265,
409 S. Main Ste. 25,,Ellensburg,30112,34,AW00030112,Mail-Order Outlet,Washington,United States,1,Patricia Vasquez,"409 S. Main Ste. 25, Ellensburg, Washington, 98926, United States",98926,
Ontario Mills,,Ontario,30116,150,AW00030116,Technical Parts Manufacturing,California,United States,1,Wanda Vernon,"Ontario Mills, Ontario, California, 91764, United States",91764,
72540 Blanco Rd.,,San Antonio,30117,4,AW00030117,Totes & Baskets Company,Texas,United States,1,Robert Vessa,"72540 Blanco Rd., San Antonio, Texas, 78204, United States",78204,
660 Lindbergh,,Saint Louis,30118,106,AW00030118,World of Bikes,Missouri,United States,1,Caroline Vicknair,"660 Lindbergh, Saint Louis, Missouri, 63103, United States",63103,
No. 25800-130 King Street West,,Toronto,29494,403,AW00029494,Vinyl and Plastic Goods Corporation,Ontario,Canada,392,Samuel Agcaoili,"No. 25800-130 King Street West, Toronto, Ontario, M4B 1V5, Canada",M4B 1V5,
252851 Rowan Place,,Richmond,29499,128,AW00029499,Valley Toy Store,British Columbia,Canada,392,Amy Alberts,"252851 Rowan Place, Richmond, British Columbia, V6B 3P7, Canada",V6B 3P7,
25981 College Street,,Montreal,29503,445,AW00029503,Family's Favorite Bike Shop,Quebec,Canada,392,Gregory Alderson,"25981 College Street, Montreal, Quebec, H1Y 2H5, Canada",H1Y 2H5,
254 Colonnade Road,,Nepean,29510,213,AW00029510,Designated Distributors,Ontario,Canada,392,Cecil Allison,"254 Colonnade Road, Nepean, Ontario, K2J 2W5, Canada",K2J 2W5,
Suite 99320 255 - 510th Avenue S.W.,,Calgary,29515,98,AW00029515,Serious Cycles,Alberta,Canada,392,Maxwell Amland,"Suite 99320 255 - 510th Avenue S.W., Calgary, Alberta, T2P 2G8, Canada",T2P 2G8,
700 Bureau Road,,Montreal,29527,396,AW00029527,Workout Emporium,Quebec,Canada,392,Robert Avalos,"700 Bureau Road, Montreal, Quebec, H1Y 2H7, Canada",H1Y 2H7,
Suite 800 2530 Slater Street,,Ottawa,29530,438,AW00029530,Nice Bikes,Ontario,Canada,392,Daniel Blanco,"Suite 800 2530 Slater Street, Ottawa, Ontario, K4B 1T7, Canada",K4B 1T7,
25 First Canadian Place,,Toronto,29539,298,AW00029539,Gasless Cycle Shop,Ontario,Canada,392,Josh Barnhill,"25 First Canadian Place, Toronto, Ontario, M4B 1V5, Canada",M4B 1V5,
25900-700-9th Ave S.W.,,Calgary,29541,525,AW00029541,Transportation Options,Alberta,Canada,392,Gytis Barzdukas,"25900-700-9th Ave S.W., Calgary, Alberta, T2P 2G8, Canada",T2P 2G8,
2500-622 5th Ave Sw,,Calgary,29544,299,AW00029544,Finer Cycle Shop,Alberta,Canada,392,Shaun Beasley,"2500-622 5th Ave Sw, Calgary, Alberta, T2P 2G8, Canada",T2P 2G8,
25537 Hillside Avenue,,Victoria,29548,517,AW00029548,First-Rate Outlet,British Columbia,Canada,392,Ann Beebe,"25537 Hillside Avenue, Victoria, British Columbia, V8V, Canada",V8V,
"253711 Mayfield Place, Unit 150",,Richmond,29557,144,AW00029557,Odometers and Accessories Company,British Columbia,Canada,392,Alexander Berger,"253711 Mayfield Place, Unit 150, Richmond, British Columbia, V6B 3P7, Canada",V6B 3P7,
5700 Explorer Drive,,Mississauga,29558,317,AW00029558,Scratch-Resistant Finishes Company,Ontario,Canada,392,John Berger,"5700 Explorer Drive, Mississauga, Ontario, L4W 5J3, Canada",L4W 5J3,
2575 Bloor Street East,,Toronto,29567,544,AW00029567,Commuter Bicycle Store,Ontario,Canada,392,Jackie Blackwell,"2575 Bloor Street East, Toronto, Ontario, M4B 1V6, Canada",M4B 1V6,
63 West Beaver Creek,,Richmond Hill,29576,472,AW00029576,Bikes for Two,Ontario,Canada,392,Eli Bowen,"63 West Beaver Creek, Richmond Hill, Ontario, L4E 3M5, Canada",L4E 3M5,
770 Notre Datme Quest Bureau 800,,Montreal,29577,287,AW00029577,Metal Processing Company,Quebec,Canada,392,Lester Bowman,"770 Notre Datme Quest Bureau 800, Montreal, Quebec, H1Y 2H7, Canada",H1Y 2H7,
600 Slater Street,,Ottawa,29596,340,AW00029596,Requisite Part Supply,Ontario,Canada,392,Eric Brumfield,"600 Slater Street, Ottawa, Ontario, K4B 1S2, Canada",K4B 1S2,
251 Indell Lane,,Brampton,29601,113,AW00029601,Custom Accessories Company,Ontario,Canada,392,Dirk Bruno,"251 Indell Lane, Brampton, Ontario, L6W 2T7, Canada",L6W 2T7,
995 Crescent,,Richmond Hill,29603,555,AW00029603,Courteous Bicycle Specialists,Ontario,Canada,392,Janaina Barreiro Gambaro Bueno,"995 Crescent, Richmond Hill, Ontario, L4E 3M5, Canada",L4E 3M5,
45259 Canada Way,,Burnaby,29608,146,AW00029608,Farthest Bike Store,British Columbia,Canada,392,Timothy Burnett,"45259 Canada Way, Burnaby, British Columbia, V5G 4S4, Canada",V5G 4S4,
254480 River Rd,,Richmond,29614,5,AW00029614,Retail Mall,British Columbia,Canada,392,Ryan Calafato,"254480 River Rd, Richmond, British Columbia, V6B 3P7, Canada",V6B 3P7,
P.O. Box 44000,,Winnipeg,29620,285,AW00029620,Two-Wheeled Transit Company,Manitoba,Canada,392,Joan Campbell,"P.O. Box 44000, Winnipeg, Manitoba, R3, Canada",R3,
20225 Lansing Ave,,Montreal,29625,163,AW00029625,Petroleum Products Distributors,Quebec,Canada,392,Suzana De Abreu Canuto,"20225 Lansing Ave, Montreal, Quebec, H1Y 2H7, Canada",H1Y 2H7,
22580 Free Street,,Toronto,29627,123,AW00029627,Bikes and Motorbikes,Ontario,Canada,392,Johnny Caprio,"22580 Free Street, Toronto, Ontario, M4B 1V7, Canada",M4B 1V7,
400-25155 West Pender St,,Vancouver,29629,76,AW00029629,Camping and Sports Store,British Columbia,Canada,392,Carlton Carlisle,"400-25155 West Pender St, Vancouver, British Columbia, V7L 4J4, Canada",V7L 4J4,
2511 Baker Road,,Toronto,29639,6,AW00029639,Corner Bicycle Supply,Ontario,Canada,392,Joseph Castellucio,"2511 Baker Road, Toronto, Ontario, M4B 1V7, Canada",M4B 1V7,
"30025 Wayburne Drive, Suite 275",,Burnaby,29649,118,AW00029649,General Cycle Storehouse,British Columbia,Canada,392,Pat Chambers,"30025 Wayburne Drive, Suite 275, Burnaby, British Columbia, V5G 4W1, Canada",V5G 4W1,
Po Box 83270,,Vancouver,29666,291,AW00029666,South Bike Company,British Columbia,Canada,392,Jane Clayton,"Po Box 83270, Vancouver, British Columbia, V7L 4J4, Canada",V7L 4J4,
25245 Rue Sherbrooke Ouest,,Montreal,29671,316,AW00029671,Machines & Cycles Store,Quebec,Canada,392,Pat Coleman,"25245 Rue Sherbrooke Ouest, Montreal, Quebec, H1Y 2H5, Canada",H1Y 2H5,
2560 Bay Street,,Toronto,29677,342,AW00029677,Urban Sports Emporium,Ontario,Canada,392,William Conner,"2560 Bay Street, Toronto, Ontario, M4B 1V7, Canada",M4B 1V7,
Suite 25800 3401 - 10810th Avenue,,Surrey,29680,290,AW00029680,Sixth Bike Store,British Columbia,Canada,392,Dorothy Contreras,"Suite 25800 3401 - 10810th Avenue, Surrey, British Columbia, V3T 4W3, Canada",V3T 4W3,
Box 99354 300 Union Street,,Saint John,29692,81,AW00029692,Citywide Service and Repair,Brunswick,Canada,392,Thierry D'Hers,"Box 99354 300 Union Street, Saint John, Brunswick, E2P 1E3, Canada",E2P 1E3,
#9900 2700 Production Way,,Burnaby,29698,97,AW00029698,Finer Riding Supplies,British Columbia,Canada,392,Jacob Dean,"#9900 2700 Production Way, Burnaby, British Columbia, V5A 4X1, Canada",V5A 4X1,
6777 Kingsway,,Burnaby,29699,229,AW00029699,Neighborhood Store,British Columbia,Canada,392,Alexander Deborde,"6777 Kingsway, Burnaby, British Columbia, V5H 3Z7, Canada",V5H 3Z7,
25575 The Queensway,,Etobicoke,29705,33,AW00029705,Rewarding Activities Company,Ontario,Canada,392,Della Demott Jr,"25575 The Queensway, Etobicoke, Ontario, M9W 3P3, Canada",M9W 3P3,
250551 Shellbridge Way,,Richmond,29711,417,AW00029711,Certified Sports Supply,British Columbia,Canada,392,Gabriele Dickmann,"250551 Shellbridge Way, Richmond, British Columbia, V6B 3P7, Canada",V6B 3P7,
595 Burning Street,,Vancouver,29714,65,AW00029714,Sundry Sporting Goods,British Columbia,Canada,392,Rudolph Dillon,"595 Burning Street, Vancouver, British Columbia, V7L 4J4, Canada",V7L 4J4,
"9950 Ferrand Drive, 9th Floor",,Toronto,29722,3,AW00029722,Vigorous Exercise Company,Ontario,Canada,392,Reuben D'sa,"9950 Ferrand Drive, 9th Floor, Toronto, Ontario, M4B 1V4, Canada",M4B 1V4,
"67255 - 8th Street N.E., Suite 350",,Calgary,29730,437,AW00029730,Future Bikes,Alberta,Canada,392,Linda Ecoffey,"67255 - 8th Street N.E., Suite 350, Calgary, Alberta, T2P 2G8, Canada",T2P 2G8,
2573 Dufferin Street,,Toronto,29734,50,AW00029734,Original Bicycle Supply Company,Ontario,Canada,392,Jauna Elson,"2573 Dufferin Street, Toronto, Ontario, M4B 1V5, Canada",M4B 1V5,
6700 Boul Taschereau,,Brossard,29740,288,AW00029740,Price-Cutter Discount Bikes,Quebec,Canada,392,Martha Espinoza,"6700 Boul Taschereau, Brossard, Quebec, J4Z 1C5, Canada",J4Z 1C5,
6030 Conroy Road,,Ottawa,29750,395,AW00029750,Our Sporting Goods Store,Ontario,Canada,392,Rhoda Finley,"6030 Conroy Road, Ottawa, Ontario, K4B 1S3, Canada",K4B 1S3,
5990 Avebury Road,,Mississauga,29755,371,AW00029755,Quick Delivery Service,Ontario,Canada,392,Kelly Focht,"5990 Avebury Road, Mississauga, Ontario, L5B 3V4, Canada",L5B 3V4,
69251 Creditview Road,,Mississauga,29761,296,AW00029761,General Bike Corporation,Ontario,Canada,392,Susan French,"69251 Creditview Road, Mississauga, Ontario, L5B 3V4, Canada",L5B 3V4,
"43251 Viking Way, Unit 130",,Richmond,29766,588,AW00029766,General Riding Supplies,British Columbia,Canada,392,Bob Gage,"43251 Viking Way, Unit 130, Richmond, British Columbia, V6B 3P7, Canada",V6B 3P7,
6388 Lake City Way,,Burnaby,29770,40,AW00029770,Rural Cycle Emporium,British Columbia,Canada,392,Kathleen Garza,"6388 Lake City Way, Burnaby, British Columbia, V5A 3A6, Canada",V5A 3A6,
9979 Bayview Drive,,Barrie,29780,313,AW00029780,Standard Bikes,Ontario,Canada,392,Frances Giglio,"9979 Bayview Drive, Barrie, Ontario, L4N, Canada",L4N,
4400 March Road,,Kanata,29785,568,AW00029785,The Showroom,Ontario,Canada,392,Diane Glimp,"4400 March Road, Kanata, Ontario, K2L 1H5, Canada",K2L 1H5,
965 De La Gauchetiere West,,Montreal,29789,108,AW00029789,Primary Bike Distributors,Quebec,Canada,392,Brian Goldstein,"965 De La Gauchetiere West, Montreal, Quebec, H1Y 2H8, Canada",H1Y 2H8,
655-4th Ave S.W.,,Calgary,29794,277,AW00029794,Wholesale Parts,Alberta,Canada,392,Derek Graham,"655-4th Ave S.W., Calgary, Alberta, T2P 2G8, Canada",T2P 2G8,
2550 Signet Drive,,Weston,29797,309,AW00029797,Metro Manufacturing,Ontario,Canada,392,Jane Greer,"2550 Signet Drive, Weston, Ontario, M9V 4W3, Canada",M9V 4W3,
55 Lakeshore Blvd East,,Toronto,29803,252,AW00029803,Greater Bike Store,Ontario,Canada,392,Hattie Haemon,"55 Lakeshore Blvd East, Toronto, Ontario, M4B 1V6, Canada",M4B 1V6,
Station E,,Chalk Riber,29807,279,AW00029807,Cross-Country Riding Supplies,Ontario,Canada,392,Bryan Hamilton,"Station E, Chalk Riber, Ontario, K0J 1J0, Canada",K0J 1J0,
52560 Free Street,,Toronto,29813,314,AW00029813,Sharp Bikes,Ontario,Canada,392,Katherine Harding,"52560 Free Street, Toronto, Ontario, M4B 1V7, Canada",M4B 1V7,
"660 Saint-Jacques, Bureau 400",,Montreal,29822,121,AW00029822,Family Cycle Store,Quebec,Canada,392,James Haugh,"660 Saint-Jacques, Bureau 400, Montreal, Quebec, H1Y 2H8, Canada",H1Y 2H8,
990th Floor 700 De La GauchetiSre Ou,,Montreal,29824,255,AW00029824,Superb Sales and Repair,Quebec,Canada,392,Brenda Heaney,"990th Floor 700 De La GauchetiSre Ou, Montreal, Quebec, H1Y 2H3, Canada",H1Y 2H3,
"253131 Lake Frasier Drive, Office No. 2",,Calgary,29830,344,AW00029830,General Department Stores,Alberta,Canada,392,Kari Hensien,"253131 Lake Frasier Drive, Office No. 2, Calgary, Alberta, T2P 2G8, Canada",T2P 2G8,
"25730, boul. St-Régis",,Dorval,29831,615,AW00029831,Operational Manufacturing,Quebec,Canada,392,Irene Hernandez,"25730, boul. St-Régis, Dorval, Quebec, H9P 1H1, Canada",H9P 1H1,
"32605 West 252 Mile Road, Suite 250",,Aurora,29832,606,AW00029832,Online Bike Warehouse,Ontario,Canada,392,Jésus Hernandez,"32605 West 252 Mile Road, Suite 250, Aurora, Ontario, L4G 7N6, Canada",L4G 7N6,
7000 Victoria Park Avenue,,Toronto,29840,578,AW00029840,Eastside Parts Shop,Ontario,Canada,392,Andrew Hill,"7000 Victoria Park Avenue, Toronto, Ontario, M4B 1V4, Canada",M4B 1V4,
"Bureau 9900 825, Avenue Querbes",,Outremont,29852,604,AW00029852,The Commissary,Quebec,Canada,392,Eddie Holmes,"Bureau 9900 825, Avenue Querbes, Outremont, Quebec, H1Y 2G5, Canada",H1Y 2G5,
"6th Floor, 25st Canadian Place",,Toronto,29855,533,AW00029855,Economy Center,Ontario,Canada,392,Curtis Howard,"6th Floor, 25st Canadian Place, Toronto, Ontario, M4B 1V5, Canada",M4B 1V5,
"250333 Southport Road, S.W.",,Calgary,29863,425,AW00029863,Efficient Cycling,Alberta,Canada,392,Ryan Ihrig,"250333 Southport Road, S.W., Calgary, Alberta, T2P 2G8, Canada",T2P 2G8,
9259 - 1110th Avenue Sw,,Calgary,29864,467,AW00029864,General Industries,Alberta,Canada,392,Beth Inghram,"9259 - 1110th Avenue Sw, Calgary, Alberta, T2P 2G8, Canada",T2P 2G8,
2510 Crew Court,,Montreal,29870,605,AW00029870,Retail Discount Store,Quebec,Canada,392,Bronson Jacobs,"2510 Crew Court, Montreal, Quebec, H1Y 2H8, Canada",H1Y 2H8,
65 Gamelin Street,,Hull,29876,388,AW00029876,Leisure Activities,Quebec,Canada,392,Vance Johns,"65 Gamelin Street, Hull, Quebec, 8Y, Canada",8Y,
9900 Ronson Drive,,Etobicoke,29879,352,AW00029879,Bikes for Kids and Adults,Ontario,Canada,392,Stephen Jiang,"9900 Ronson Drive, Etobicoke, Ontario, M9W 3P3, Canada",M9W 3P3,
955 Green Valley Crescent,,Ottawa,29881,563,AW00029881,Home Town Bike Store,Ontario,Canada,392,Danielle Johnson,"955 Green Valley Crescent, Ottawa, Ontario, K4B 1S1, Canada",K4B 1S1,
